strategy,n,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5_net,r_no_top10_net,trades_per_week,trades_per_month
XAG_SWING_4H_brk10_b60|DXY_strong_bear|HTF1D|tgt4.0R,45,0.6,0.0133,0.333,1.03,5,-15.16,-22.37,0.17,0.73
XAG_SWING_4H_brk10_b60|DXY_strong_bear|HTF1D+12H|tgt4.0R,45,0.6,0.0133,0.333,1.03,5,-15.16,-22.37,0.17,0.73
XAG_SWING_4H_brk10_b60|DXY_strong_bear|HTF1D+12H|tgt3.0R,45,0.6,0.0133,0.356,1.03,5,-13.29,-21.37,0.17,0.73
XAG_INTRA_1H_pullback|DXY_strong_bear|HTF1D+HTF4H|tgt2.5R,30,0.5,0.0167,0.433,1.04,5,-9.75,-13.53,0.32,1.36
XAG_INTRA_1H_pullback|DXY_strong_bear|HTF1D+HTF4H|tgt2.0R,30,0.5,0.0168,0.433,1.04,5,-8.82,-13.53,0.32,1.36
XAG_SWING_4H_pullback|no_macro|HTF1D|tgt3.0R,39,0.33,0.0084,0.256,1.02,10,-14.42,-21.11,0.16,0.68
XAG_SWING_4H_pullback|no_macro|HTF1D+12H|tgt3.0R,39,0.33,0.0084,0.256,1.02,10,-14.42,-21.11,0.16,0.68
XAG_SWING_4H_pullback|DXY_bear|HTF1D+12H|tgt2.5R,22,-0.22,-0.01,0.318,0.98,8,-12.47,-12.6,0.09,0.38
XAG_SWING_4H_pullback|DXY_bear|HTF1D|tgt2.5R,22,-0.22,-0.01,0.318,0.98,8,-12.47,-12.6,0.09,0.38
XAG_INTRA_1H_pullback|DXY_below_ema200|HTF1D|tgt3.0R,51,-0.25,-0.0049,0.333,0.99,5,-15.0,-21.92,0.49,2.1
